Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
318;29.03.2021;Hamburg;"Am Bauzaun der Erich-Kästner-Schule wurde eine Matratze mit dem Schriftzug „Stirb Merkel- Fotze"" entdeckt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
319;30.03.2021;Hamburg;UT zerstörten die rechte Fensterscheibe des Büros der Bundestagsabgeordneten Frau Dorothee M. (SPD).;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
320;02.03.2021;Rostock;"Der GS stellte eine Strafanzeige wegen übler Nachrede und Verleumdung gegen Personen des politischen Lebens auf Grund eines Artikels der Ostsee-Zeitung mit der Überschrift ""Vorpommern-Rügen: AfD-Politiker sorgt mit Hetzrede für Eklat im Kreistag"" in dem u. a. steht (Zitat), ""R. H. (AfD) hat auf der jüngsten Sitzung des Kreistags Vorpommern-Rügen in Grimmen am Montagabend mit einer Hetzrede für einen Eklat gesorgt."" sowie "" Während er einen Antrag mit dem Titel 'Beendigung der Herrschaft des Unrechts' vorlas und in hetzerischer Manier über Flüchtlinge sprach, verließen rund 20 Politiker anderer Parteien demonstrativ den Sitzungssaal..."" und ""Verunglimpfung von Flüchtlingen"".";0;Nicht zuzuordnen;§187 StGB;Verleumdung;AfD
321;20.01.2021;Rotenburg;UT beschädigt ein bodentiefes Fenster im l.OG der Doppelhaushälfte mittels Steinwurf. Keine Täterhinweise. Der ZEUGE (Mieter) ist Fraktionsvorsitzender der SPD. Ein Politisch motivierter Flintergrund kann nicht ausgeschlossen werden, wird von dem Mandatsträger aber nicht angenommen. Auf einen Zeugenaufruf in der Presse kamen keine Rückmeldungen. Weitere Nachforschungen erscheinen zum jetzigen Zeitpunkt nicht erfolgsversprechend.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
322;20.01.2021;Göttingen;"UT klebten Aufkleber/Spuckies an die Bahnunterführung, die sich thematisch gegen die AfD richtet. Namentlich wurde A.W. und J.M. genannt mit den Worten ""Spendenlügner"" und ""Schmierenkomödianten"". Weiterhin wird die AfD im Zusammenhang mit den Begriffen ""Viertes Reich"" und ""Nazis"" gesetzt. It. NM v 27.04.21 Ziffer 14 in NEIN geänd.";0;Links;§185 StGB;Beleidigung;AfD
323;12.02.2021;Rotenburg;"Der amtsbekannte BS (Alkoholiker) bezeichnet den Bürgermeister am Telefon gegenüber dessen Ehefrau als ""Flurensohn"". Außerdem solle er aufpassen, was er mache und dass dieser sich noch wundern werde, was er vorhabe. Bald würde ihm etwas Schlimmes passieren. Der Bürgermeister fühlt sich dadurch in seiner Ehre verletzt. Strafantrag gestellt.";1;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
324;13.02.2021;Schüttorf;"Der BS bedroht (""Die alte sollte man erschießen und die anderen gleich mit es gehen schon genug Firmen pleite"") auf der digitalen Plattform ""Facebook"", auf der Seite der Bundesregierung die Bundeskanzlerin. cov#19";1;Nicht zuzuordnen;§241 StGB;Bedrohung;CDU
325;28.01.2021;Hannover;Der Anzeigeerstatter beschuldigt der Bundesvorstand der Grünen der Volksverhetzung, da dieser auf Twitter am Gedenktag der Opfer des Nationalsozialismus am 27.01.2021 einen Beitrag gepostet hat, dass alle Mitglieder der AfD-Fraktion in der Zeit des Nationalsozialismus Verbrechen gegen die Menschlichkeit begangen hätten oder an diesen beteiligt gewesen wären. Lt. AM v. 06.05.2021 TTO: auf Hannover geänder.;0;Links;§130 StGB;Volksverhetzung;AfD
326;19.02.2021;Braunschweig;UT zerstachen 2 Reifen am PKW des GS. Der PKW gehört der Ehefrau eines Ratsmitgliedes (BIBS).;0;Rechts;§303 StGB;Sachbeschädigung;Sonstige Partei
327;20.02.2021;Celle;Der BS, Leiter der Versammlung, führte einen Lautsprecher mit und spielte über diesen während des Aufzuges Musik ab. In einem Lied wurde mehrfach dazu aufgefordert, Mitglieder der AfD zu erschießen. Weiter wurde dies im folgenden Text glorifiziert;1;Links;§130 StGB;Volksverhetzung;AfD
328;20.02.2021;Braunschweig;"Am 20.02.2021 fand auf dem Bahnhofsvorplatz in Braunschweig eine angemeldete Kundgebung der Partei ""DIE RECHTE"" mit dem Thema ""Pandemie Wahnsinn und Behördenwillkür entgegentreten!"" statt. An der Kundgebung hatten sich Gegendemonstranten versammelt. Als der unbeteiligte GS nun die Straße überquerte, um in das Bahnhofsgebäude zu gelangen und dabei die Gegendemonstranten passierte, schlägt der BS unvermittelt mit der rechten Faust von hinten gegen den Hinterkopf des GS. Dieser wird durch den Schlag leicht verletzt und klagte über Schmerzen. cov#19";1;Links;StGB-224;Gefährliche Körperverletzung;Sonstige Partei
329;25.02.2021;Stade;"Der kürzlich nominierte Bundestagskandidat der Partei ""Bündnis 90/Die Grünen"" für den hiesigen Wahlkreis 30 (Stade 1 - Rotenburg II) wird in einem Chat, der parallel zu einer Livestreamveranstaltung auf der Plattform twitch.tv verläuft, mit dem Wort ""Lappen"" beleidigt. Weiterhin kommt es zu Lieferando-BesteIIungen, die im Namen des o.g. Politikers unter missbräuchlicher Verwendung von ""falschen"" E-Mail-Adressaufgegeben werden. Lt. AM v. 19.04.2021 EX auf NEIN geänd.";0;Rechts;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
330;26.02.2021;Wilhelmshaven;AfD-Parteimitglieder via Facebook mitangebl. ehemaliger Zugehörigkeit zu extr. Vereinigungen verunglimpft.;1;Rechts;§187 StGB;Verleumdung;AfD
331;22.02.2021;Lingen;Der BS veröffentlicht durch die Internetplattform YouTube einen Song, in dem Politikern mit dem Tod gedroht wird. Lt. NM v. 24.03.2021 AZ: Bund erg.;1;Rechts;§126 StGB;Störung des öffentlichen Friedens;Sonstige Partei
332;08.03.2021;Stadthagen;"MA teilt mit, dass sie einen Brief mit strafrechtlichem Hintergrund aus dem Briefkasten der CDU-Geschäftsstelle in Stadthagen in Empfang genommen habe. Inhalt des Briefes: ""Ab jetzt gilt für 500 Corona-Tote wird ein CDU Funktionsträger hingerichtet. Eine Liste der betroffenen Personen liegt beim jeweiligen Land ratsamt aus.""";0;Nicht zuzuordnen;§240 StGB;Nötigung;CDU
333;04.03.2021;Rehburg-Loccum;Mit der Post hat der Anzeigeerstatter einen Brief ohne Absender erhalten, in welchem unwahre verleumderische Anschuldigungen über seine Person gemacht werden. Der Verfasser droht damit, diese unwahren Anschuldigungen per Flyer noch vor der Kommunalwahl, Sep. 2021 in Rehburg-Loccum, flächendeckend zu verteilen. Der Anzeigeerstatter ist kommunal- und parteipolitisch engagiert. Er ist Vorsitzender des SPD-Ortsvereins Rehburg-Loccum.;0;Nicht zuzuordnen;§187 StGB;Verleumdung;SPD
334;03.03.2021;Hannover;"UT schmierte ""FASCHISTEN ENTLARVEN AFD ANGREIFEN"".";0;Links;§303 StGB;Sachbeschädigung;AfD
335;19.03.2021;Großheide;Die GS, ehem. MdB Bündnis90/Die Grünen, erhielt einen maschinell geschriebenen Brief, der an ihren verstorbenen Mann (ehemals Kommunalpolitiker) adressiert ist. In dem Brief werden Handlungen und Aussagen der GS thematisiert.;0;Nicht zuzuordnen;§240 StGB;Nötigung;Bündnis 90/Die Grünen
336;21.03.2021;Oberndorf;"UT schmierten ""FCK AFD"" und ""NAZIS TÖTEN"" auf die Straße";0;Links;§303 StGB;Sachbeschädigung;AfD
337;23.03.2021;Einbeck;UT ruft in einer Messenger-Gruppe auf Telegram zu einer Versammlung an der privaten Wohnanschrift der Einbecker Bürgermeisterin (CDU) auf, um eine Umkehr in ihrer Coronapolitik zu erwirken. Dadurch wird zu einer tätlichen Beleidigung sowie einer versuchten Nötigung aufgerufen, indem das Mitbringen von Ernteerzeugnissen gefordert wird und damit suggeriert wird, diese zum Werfen zu benutzen. cov#19;0;Nicht zuzuordnen;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
338;26.03.2021;Papenburg;"Durch die Stadt Papenburg wurde ein Beitrag von N-TV.de veröffentlicht, in dem angegeben wurde, dass die Buka*in am 24.03.21, um 12:30 Uhr, persönlich spricht. Die Stadt kündigte dieses an, da sie aktuell besonders von den hohen Inzidenzahlen bzgl. der Corona Pandemie betroffen war. Durch den BS wurde neben dem Schriftzug Stadt Papenburg die Partei ""CDU"" hinzu geschrieben und darunter ""Der Führer spricht"". cov#19";1;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
339;29.01.2021;Hannover;Der GS, Partei Vorsitzender im SH Landtag, wurde über Facebook von dem BS durch rechtspolitische Nachrichten beleidigt. Lt. NM v. 26.04.2021 AZ erg.;1;Rechts;§185 StGB;Beleidigung;SPD
340;17.03.2021;Osnabrück;"Der Oberbürgermeister (CDU) der Stadt Osnabrück wird auf Facebook durch den User Lars H. u.a. mit den Worten ""Kack Bürgermeister"" und ""Scheiß Bürgermeister"" und ""Arschloch"" beleidigt.";1;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
341;18.01.2021;Wilhelmshaven;Der BS postete zu einem Facebook-Beitrag der Grünen Landtagsabgeordneten zur Corona-Politik der AfD folgenden Wortlaut: 'Ihr FIITLER-2.0-Fluren werdet allesamt Guantanamo und Workuta/Ru. besuchen!!!'... (es folgen zwei Emoji-Symbole, die US-amerikanische Flagge sowie ein küssendes / zwinkerndes Smiley). cov#19;1;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;Bündnis 90/Die Grünen
342;04.02.2021;Aldenhoven;"UT klebte drei Aufkleber mit rechtsnationalistischen Parolen (Gegen SPD) und volksverhetzendem Inhalt (FUCK ISRAEL) an das Flaus des Geschädigten, der sich als Kommunalpolitiker der SPD im ""Bündnis gegen Rechts"" engagiert.";0;Rechts;§130 StGB;Volksverhetzung;SPD
343;11.03.2021;Stolberg;"In einer Mail an die Stadt Stolberg wurde durch den unbekannten Absender wiederholt der Bundes Wirtschaftsminister mit folgenden Worten beleidigt: ""asozialer Krimineller; verpisster CDU Verfassungsfeind und Krimineller Fettsack"".";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
344;23.03.2021;Aachen;"Eine Gruppe von 20-30 Personen stand vor dem Büro der Partei Bündnis90/Die Grünen. Als ein Ratsherr der Stadt Aachen das Büro verließ, zeigten manche den Mittelfinger, man rief ""Buh"", einer rief ""da ist einer von diesen Terroristen"". Die Gruppe entfernte sich und sang ""Die Gedanken sind frei"". Es dürfte sich erfahrungsgemäß um Pandemieschutzgegner/Coronaleugner handeln, welche politisch heterogen sind. cov#19";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
345;30.01.2021;Minden;"UT sprühte auf die Flauswand einer Rechtsanwaltskanzlei verfassungsfeindliche Symbole. Dabei handelt es sich u.a. um ein durchgestrichenes Flakenkreuz mit Schriftzug HU und ""Fuck AFD"". Der ansässige Rechtsanwalt ist als Mitglied der AfD im Landtag vertreten.";0;Links;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
347;17.02.2021;Herford;"Der GES, Bürgermeister erhielt ein, nebst Umschlag, beigefügtes handschriftliches anonyme Schreiben per Post wegen des Muezzins Rufes in Herford. Folgender Inhalt wurde übersandt: „(Name des GES) Du Drecksack! Deutschland braucht keine Muezzin-Islamisten-Pack-Allah-Rufe! Das muss sofort unterbunden werden. Hast Du SPD-Idiot noch alle Tassen im Schrank! Der Islam hat in Deutschland nichts zu suchen! Raus mit diesem Saupack! Du gehörst von der Bevölkerung aus dem Amt geprügelt!!""";0;Rechts;§185 StGB;Beleidigung;SPD
348;29.03.2021;Düsseldorf;"UT sendete eine E-Mail mit beleidigenden und fremdenfeindlichen Aussagen an das Kontaktformular des Landes NRW. Unter anderem wurde ""Scheiss Rotgrünes Dreckspack gehörst mit Ausländer und Türken vernichet. Mit ihnen arbeitet man nicht zusammen westdeutsches Dreckspack und hässliche EKEL RASSE !!! CDU SPD FDP !!!"" geschrieben.";0;Rechts;§185 StGB;Beleidigung;Bündnis 90/Die Grünen, SPD, CDU, FDP
349;23.02.2021;Essen;"Der GES (Angehöriger der Partei ""Bündnis 90 / die Grünen) teilt mit, dass im Parteibüro ein Brief eingegangen sei. In dem Briefumschlag habe sich eine ""eidesstattliche Erklärung"" zur Briefwahl über die Wahl des Vorstandes der Partei befunden. Sein Name sei dort abgedruckt gewesen. Neben dem Namen habe sich eine Unterschrift befunden, die glauben machen sollte, dass der Geschädigte selbst unterschrieben hat. Der Absender ist unbekannt.";0;Nicht zuzuordnen;StGB-267;Urkundenfälschung;Bündnis 90/Die Grünen
350;07.02.2021;Gelsenkirchen;"Die GES (Mitglied des Stadtrates und Vertreterin der FDP Fraktion) wurde im Internet über Facebook beleidigt. Die unbekannte Nutzerin mit dem Namen ""Sunny Barthels"" schrieb zu einem post der GES ""ab ins KZ"".";0;Rechts;§130 StGB;Volksverhetzung;FDP
351;18.03.2021;Balve;"Der GS gibt an, dass er durch einen UT über ein Schriftstück (Brief) genötigt würde. Er selbst sei Ratsmitglied mit türkischen Wurzeln und aufgrund dieser Tatsache solle er nun das Land verlassen. In dem Brief wird er auch als ""scheiß Ausländer"" tituliert. Es ist weiterhin ein Hakenkreuz aufgemalt.";0;Rechts;§240 StGB;Nötigung;SPD
352;03.02.2021;Köln;"Bei dem Geschädigten handelt es sich um den Sprecher der AfD-Fraktion und Mitglied des Stadtrates der Stadt Köln. An seinem Balkon wurde der GES durch eine unbekannte, männliche Person, mit den Worten ""Wenn du rauskommst, dann schneide ich dir deine Eier ab."" verbal bedroht. Es waren noch eine weitere männliche sowie zwei weibliche Personen zur Tatzeit dort anwesend.";0;Links;§241 StGB;Bedrohung;AfD
353;10.02.2021;Köln;"Bei dem Geschädigten handelt es sich um den Sprecher der AfD-Fraktion und Mitglied des Stadtrates der Stadt Köln. An seinem Balkon wurde der GES durch eine unbekannte, männliche Person, welche ihn bereits zuvor mit den Worten ""Wenn du rauskommst, dann schneide ich dir deine Eier ab."" verbal bedroht hatte (pol.-AZ: 210203-2235-090278) nunmehr als ""AfD-Schwuchtel"" beleidigt. Bei der Tatausführung befand sich der UT in Begleitung einer weiteren unbekannten, männlichen Person, welche sich jedoch neutral verhielt.";0;Links;§185 StGB;Beleidigung;AfD
354;17.02.2021;Rheine;"UT begingen eine Sachbeschädigung an einem großflächigen Werbeplakat. Darauf wurden die Schriftzüge: ""Bürger wehrt euch"" ""Schluss mit dem Coronadiktat"" und ""Zum Teufel mit Merkel, Söder, Laschet"" gesprüht. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU, CSU
355;26.03.2021;Recklinghausen;"Der BS schickt eine E-Mail an die Stadtverwaltung Recklinghausen. In dieser bezeichnet er den Bürgermeister und seine Mitarbeiter als ""kriminelle Bande"", die weggesperrt werde. Die Tage als Bürgermeister wären gezählt, genau wie die des ""Abschaumes"" in Berlin. Er, der Bürgermeister, werde auch noch vor ein Militärgericht gestellt werden müssen, wobei das Urteil die Hinrichtung sei. Der BS ist als Reichsbürger bekannt und entwickelt aus nicht bekannten gründen ein Feindbild gegenüber der Stadt Recklinghausen (Geburtsort). Sein derzeitiger Aufenthaltsort dürfte Indonesien oder Bali sein.";1;Rechts;§241 StGB;Bedrohung;CDU
356;05.01.2021;Ludwigshafen;"UT beschädigte mehrere Wahlplakate der Partei ""Die Linke"". Ein Plakat wurde mit dem Wort ""Depp"" beschriftet.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Die Linke
357;14.01.2021;Cochem;Ein Mitarbeiter eines MdL (SPD) teilt mit, dass die Fensterscheibe des Abgeordnetenbüros beschädigt wurde. Vor Ort wird eine ca. 10x15 cm große Bruchstelle an der äußeren Fensterscheibe der Doppelverglasung festgestellt. Unterhalb der beschädigten Fensterscheibe lagen auf dem Boden eine Schnapsflasche sowie Scherben einer weiteren Schnapsflasche. Auf der gegenüberliegenden Straßenseite konnte darüber hinaus ein auf dem Boden liegender Mülleimer vorgefunden werden, der wieder in die dafür vorgesehene Vorrichtung gehangen werden konnte. Die Tatörtlichkeit liegt auf der Verbindung zwischen Bahnhof und Innenstadt Cochem. Die Gesamtumstände lassen den Schluss zu, dass gestern Abend oder in Nacht UT durch die Straße gezogen sind und ihr Unwesen getrieben haben. Im Rahmen der Hinweisaufnahme wurden im Nahbereich des Tatortes bedruckte Papierzettel aufgefunden und sichergestellt. Inhalt und Aufdruck der Zettel (White lives matter, we stand side by side, unite the ride, not all cops are bastards, www.ansgararyan.com,www.the-revolution.de) deuten auf eine politisch motivierte Tatausführung hin.;0;Rechts;§303 StGB;Sachbeschädigung;SPD
358;28.01.2021;Waldsee;"Der GS erstattete Strafanzeige zunächst gegen Unbekannt wegen ""Bild-Rechte, Verleumdung, Rufmord"". Er wird von der KKA, (Kurfürstlich Kurpfälzische Antifa) seiner Meinung nach als AfD-ler und Nazi verunglimpft. Über eine angegebene Handy-Nummer konnte der TV ermittelt werden.";1;Links;§187 StGB;Verleumdung;AfD
359;22.01.2021;Speyer ;"Durch UT wurde ein Brief mit beleidigendem Inhalt im Briefkasten des Landeskandidaten der SPD (Wahlkreis 39) hinterlassen. In dem Brief wird dem Kandidaten ein ""IQ<
90"" nachgesagt, seine ""(geistige) Potenz"" wird als steigerungswürdig verunglimpft und er wird als ""dumm geboren, nichts dazu gelernt"" dargestellt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
360;10.02.2021;Mainz;UT bemalte zwei Wahlplakate der SPD, auf denen das Gesicht der MPin abgebildet war, mit jeweils einem Hakenkreuz. Andere Plakate der SPD, auf denen anderen Politiker abgelichtet sind, sowie die Plakate der Grünen wurden nicht beschädigt. Es scheint sich gezielt gegen die MPin zu richten. Mit NM vom 22.02.21 wird die Ergänzung eines AZ bestätigt.;0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
361;20.02.2021;Koblenz;"Zur Tatzeit hielt sich der GS an einem Wahlkampfstand seiner Partei (AfD) auf. Das Fahrzeug des GS war in unmittelbarer Nähe geparkt. Ein Zeuge gibt an, einen ""jungen Mann"" gesehen zu haben, der sich zum Vorderreifen gebückt haben soll. Ein Mittäter soll sich in unmittelbarer Nähe aufgehalten und mit dem Haupttäter kommuniziert haben. Möglicherweise hat er ""Schmiere"" gestanden. Durch den UT wurden zwei Reifen des Fahrzeugs zerstochen. Anschließend flüchteten beide Personen.";0;Links;§303 StGB;Sachbeschädigung;AfD
362;24.02.2021;Höhn;"UT besprühen mit schwarzer Farbe im Tatzeitraum fünf Werbetafeln. Auf jeder Werbetafel befindet sich jeweils ein Plakat, auf denen anlässlich der bevorstehenden Landtagswahl in RP Politikerinnen und Politiker zweier Parteien, einmal CDU und einmal SPD, abgebildet sind. Auf die Abbildungen wurden Wörter gesprüht, die die Personen verunglimpfen. Auf eine Abbildung der rheinland-pfälzischen MPin wurde das Wort ""Volksverräterin"", auf eine andere Abbildung der gleichen Person hat man das Wort ""schuldig"" gesprüht. Auf eine Abbildung des örtlichen Landtagskandidaten der SPD (zugleich Landtagspräsident) wurde das Wort ""Kinderficker"" und auf eine andere Abbildung der gleichen Person ""Antifa Freund Schande"" gesprüht. Auf eine Abbildung des Spitzenkandidaten der CDU hat man das Wort ""Volksverrat"" gesprüht.";0;Rechts;§185 StGB;Beleidigung;SPD, CDU
363;02.03.2021;Neuwied;"UT besprühten mindestens vier Wahlplakate der AfD, die an Straßenlaternen angebracht wurden, mit Parolen (""Nazi Hunde"", ""Nazi Abschaum"", ""Drecks Nazi"").";0;Links;§303 StGB;Sachbeschädigung;AfD
364;27.02.2021;Nastätten;"Am 27.02.2021, von 10:00 Uhr bis 12:00 Uhr, wurde durch AfD-Mitglieder ein genehmigter Infostand betrieben.
Gegen 11:00 Uhr soll eine männliche Person die Betreiber des Standes als Drecksäcke beleidigt haben.";1;Links;§185 StGB;Beleidigung;AfD
365;04.03.2021;Orlenbach;"Im Rahmen der Streifentätigkeit wurde festgestellt, dass insgesamt sieben Wahlplakate mittels Farbe besprüht wurden. Die Wahlplakate der CDU, SPD und den Freien Wählern wurden mit einem Mund-Nasen-Schutz besprüht. Ein Wahlplakat der Partei Bündnis 90/Die Grünen wurde mit dem Wort ""Kinderficker"" besprüht. Zusammenhang mit cov#19. Mit NM vom 10.03.21 wurde die Ergänzung eines AZ bestätigt.";0;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;Bündnis 90/Die Grünen, SPD, Sonstige Partei, CDU
366;04.03.2021;Waldfischbach- Burgalben;"UT beschmierte ein Wahlwerbeplakat der CDU mit Farbe. Die Farbschmierereien verunstalteten das Gesicht des abgebildeten Politikers. Das Buchstabenkürzel ""FIRNSFIN"" dürfte eine Beleidigung darstellen, da die Abkürzung wohl für das Wort ""FIURENSOFIN"" steht und sich offenbar gegen den abgebildeten Politiker bezieht.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
367;04.03.2021;Andernach;"Ein UT hatte auf das Wahlplakat der SPD über das Bild der MPin ""FIURE"" gesprüht. Mit NM vom 15.03.21 wird die Ergänzung eines AZ bestätigt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
368;23.02.2021;Dannstadt- Schauernheim;"Bei der morgendlichen Leerung des Briefkastens am Rathaus der Verbandsgemeindeverwaltung stellte die Mitarbeiterin der Gemeinde drei Wahlflyer (2x CDU; lx Bündnis 90/Die Grünen) fest. Die drei Flyer waren versehen mit Beschriftungen mit beleidigendem Inhalt. U.a. war zu lesen:"" Verbrecher, Panikschürer, Lügner, Speichellecker, Schluss mit der LügenPandemie, Volksverräter, keine Unterdrückung, ab in den Knast, ..."" Zusammenhang mit cov#19.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU, Bündnis 90/Die Grünen
369;08.03.2021;Hermeskeil;"Es wurde ein kleines loderndes Feuer vor einem Wahlplakat der Partei Bündnis 90/Die Grünen festgestellt, welches mit ein wenig Wasser gelöscht werden konnte. Auf der Rückseite der Tafel wurde außerdem das Wort ""Hurensöhne"" aufgesprüht.";0;Nicht zuzuordnen;§304 StGB;Gemeinschädliche Sachbeschädigung;Bündnis 90/Die Grünen
370;06.03.2021;Haßloch;"UT beschriftete(n) zwei vor dem Anwesen des Ortsverbands-Vorsitzenden und Direktkandidaten der AfD hängenden Wahlplakaten mit den Sätzen: ""Gib dir nen Kopfschuss"" und ""Fuck you"" sowie FCK ""Alternative für Dummköpfe!"". Auf einem der Plakate wurde der GS, dessen Konterfei großflächig abgebildet ist, zusätzlich noch mit einem Hitler-Bärtchen versehen. Am gleichen Morgen fand eine AfD-Wahlkundgebung mit Gegenanmeldung einer bürgerlich-linken Kundgebung statt, weshalb ein Zusammenhang mit diesem demonstrativen Geschehen angenommen werden darf.";0;Links;§185 StGB;Beleidigung;AfD
371;07.03.2021;Fußgönheim;"Im Rahmen der Streife wurden am Mitfahrerparkplatz drei Wahlplakate festgestellt, welche durch Schriftzüge mittels Spraydose verschmiert worden waren. Ein Wahlplakat mit der SPD-Spitzenkandidatin wurde mit den Worten ""Das sind die Nazis"" versehen. Ein weiteres Wahlplakat mit der SPD-Spitzenkandidatin wurde mit den Worten ""Korrupte Bande"" beschrieben. Ein dazwischen befindliches Wahlplakat mit dem Spitzenkandidaten der Freien Wähler wurde mit den Worten ""Raus aus Parteien-Systemen"" versehen.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Sonstige Partei, SPD
372;12.03.2021;Neustadt;"Im Rahmen der Twitter-Auswertung zur AfD-Kundgebung am 13.03.21 in Neustadt (mit entsprechenden Gegenprotesten) fiel auf dem Twitter-Kanal ""Antifa Report Pfalz"" ein Post auf, aus dem der Verdacht hervorgeht, dass insgesamt zehn Teilnehmende der AfD-Kundgebung am 06.03.21 in Haßloch fotografiert wurden und nun im Rahmen des Posts, mit einem entsprechenden Warnaufruf an die linke Szene versehen, als Portraitaufnahme für jedermann sichtbar abgebildet wurden. Da es sich bei den Personen augenscheinlich weder um Hauptakteure der Versammlungen handelt, noch diese in besonderer Weise im Kontext der Versammlung auffällig waren, dürfte eine Ausnahme nach § 23 Abs. 1 Nr. 3 KunstUrhG nicht einschlägig sein. Aus den weiteren veröffentlichten Fotos auf dem Kanal und den Beobachtungen am 13.03.21 geht hervor, dass der BS zumindest eine Vielzahl der Bilder gefertigt und beigesteuert haben dürfte.";1;Links;KUG;;AfD
373;16.03.2021;Alsheim;"Wiederholt (analog 08/2020) konnte der GS durch Hinweise aus dem Bekanntenkreis an verschiedenen Örtlichkeiten in Alsheim (vorwiegend Bahnhof) und zu verschiedenen Zeiten der letzten Monate Aufkleber feststellen, welche das Profilbild des GS zeigen. Das Bild wurde nach den Angaben des GS entweder von der Homepage des ""Freie Wähler Alsheim e.V."" oder von einem Werbeflyer aus der Wahlkampagne 2019 entnommen, da es sonst nirgendwo publiziert wurde. Am unteren Bildrand wurde durch UT die Textpassage ""... so dumm wie laut"" eingepflegt, die sich auf seine Person beziehen sollen und nicht auf seine Parteizugehörigkeit. GS vermutet trotzdem eine politische Motivation durch den UT.";0;Nicht zuzuordnen;§187 StGB;Verleumdung;Sonstige Partei
374;22.03.2021;Trier;"Bei der SPD Stadtratsfraktion in Trier ging ein Drohschreiben zum Nachteil der MPin und des Personenschutzesein. In dem 2seitigen handschriftlichen Schreiben beleidigt UT die MPin mehrfach und droht damit, sie und ihre ""Leibwächter"" ""abzuknallen"", sollte der ""Lockdown 3.0"" weiter andauern. Zusammenhang mit cov#19.";0;Nicht zuzuordnen;§241 StGB;Bedrohung;SPD
375;14.03.2021;Zweibrücken;Vor der CDU Zentrale in Zweibrücken wurden zu verschiedenen Tatzeiten insgesamt 4 Pkw in gleicher Art zerkratzt (Vn: PI Zweibrücken 639022/30032021/1818, 639015/05042021/1814,639016/05042021/1922 und 639022/21042021/1521). Immer am hinteren rechten Kotflügel. Die Taten sind im Zusammenhang mit den Landtagswahlen passiert. Ein Täterhinweis konnte nicht gegeben werden. Lt. AE richteten sich die Taten gezielt gegen sie als Parteiangehörige.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
376;18.01.2021;Bordesholm;"UT brachten beim Bürgerbüro der SPD einen Zettel an mit der Aufschrift: ""IHR DRECKIGEN KOMMUNISTEN WERDET FÜR EURE VERBRECHEN GEGEN DAS VOLK HÄNGEN!""";0;Rechts;§241 StGB;Bedrohung;SPD
377;24.01.2021;Nordhastedt;"Durch den Anzeigenden, hierbei handelt es sich um den Kreisvorsitzenden der Partei AfD, wird eine Sachbeschädigung neben der Eingangstür zu seiner von ihm betriebenen Gaststätte und seiner Wohnung angezeigt. Durch eine UT wird der Schriftzug ""FCK AFD"" auf die Hauswand aufgebracht. Die Gaststätte dient als Räumlichkeit für Veranstaltungen der AfD.";0;Links;§303 StGB;Sachbeschädigung;AfD
378;28.01.2021;Fehmarn;UT beschmieren diverse Wahlplakate mehrerer Bewerber zur Bürgermeisterwahl auf Fehmarn mit Hitlerbart und den Worten Nazi, Opfer u. ä..;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, SPD, Sonstige Partei, FDP
379;10.02.2021;Sylt;Auf der Insel Sylt findet die Wahl des Bürgermeisters statt. Es wurden durch unbekannte Täter ca. 12-14 Wahlplakate des geschädigten Kandidaten entfernt und entwendet.;0;Nicht zuzuordnen;§242 StGB;Diebstahl;CDU
